"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Sidewalk Repair","Contracts, Field Services and Maintenance","1##","GOYEAU","WARD 3","Citizen Mobile Apps","FEB 12, 2024 12:30:06 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","18##","UNIVERSITY","WARD 2","Phone","JAN 11, 2024 11:16:36 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","23##","PARENT","WARD 4","Citizen Mobile Apps","JAN 19, 2024 07:56:41 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","9##","WESTMINSTER","WARD 6","Phone","JAN 23, 2024 02:17:18 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","10##","DROUILLARD","WARD 5","Citizen Mobile Apps","JAN 19, 2024 04:00:29 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","8##","MARION","WARD 4","E-Mail","JAN 25, 2024 08:53:01 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","12##","SOUTHDALE","WARD 10","Citizen Mobile Apps","JAN 26, 2024 07:37:19 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","20##","JEFFERSON","WARD 8","Citizen Mobile Apps","JAN 16, 2024 05:39:44 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","39##","MOUNT CARMEL","WARD 1","E-Mail","JAN 02, 2024 12:37:40 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","10##","MATTHEW BRADY","WARD 6","Citizen Mobile Apps","JAN 02, 2024 08:07:06 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","35##","WALKER","WARD 9","Citizen Mobile Apps","JAN 24, 2024 08:34:30 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance"," ","LITTLE RIVER BLVD & PEABODY AVE","WARD 7","Phone","FEB 08, 2024 03:22:53 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","3##","AYLMER","WARD 4","Citizen Mobile Apps","JAN 25, 2024 01:14:05 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","9##","CORA GREENWOOD","WARD 7","Citizen Mobile Apps","JAN 08, 2024 09:57:11 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","9##","CORA GREENWOOD","WARD 7","Citizen Mobile Apps","JAN 08, 2024 09:55:10 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","39##","SEMINOLE","WARD 5","Phone","JAN 09, 2024 09:11:46 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","21##","WELLESLEY","WARD 4","Phone","JAN 29, 2024 12:15:49 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance"," ","ANNIE ST & TECUMSEH RD E","WARD 8","Phone","FEB 02, 2024 10:44:00 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","4##","TUSCARORA","WARD 3","Phone","FEB 07, 2024 11:47:38 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance"," ","SOUTHWOOD LAKES","WARD 1","Citizen Mobile Apps","FEB 27, 2024 06:25:53 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance"," ","MERCER ST & WYANDOTTE ST E","WARD 3","Phone","FEB 01, 2024 03:16:02 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","16##","POLONIA PARK","WARD 8","Citizen Mobile Apps","FEB 27, 2024 10:05:45 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","38##","MONTCALM","WARD 2","Phone","FEB 20, 2024 09:57:19 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","5##","JARVIS","WARD 7","Phone","FEB 20, 2024 11:36:28 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","18##","SHEPHERD","WARD 4","Phone","JAN 24, 2024 10:41:18 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance"," ","CHRYSLER CENTRE & YPRES AVE","WARD 5","Phone","JAN 26, 2024 01:29:35 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","9##","CALIFORNIA","WARD 2","Phone","JAN 31, 2024 10:20:55 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","7##","GRAND MARAIS","WARD 10","Citizen Mobile Apps","JAN 31, 2024 09:14:51 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","10##","OTTAWA","WARD 4","Phone","JAN 23, 2024 10:40:47 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance"," ","WYANDOTTE ST W & BRIDGE AVE","WARD 2","Phone","FEB 01, 2024 03:18:03 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","2##","WYANDOTTE","WARD 3","Phone","FEB 13, 2024 11:34:49 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","5##","ORCHARDS","WARD 9","Phone","FEB 14, 2024 09:26:40 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","41##","BONNAIRE","WARD 9","E-Mail","FEB 05, 2024 10:58:22 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","107##","EASTCOURT","WARD 7","Phone","FEB 22, 2024 01:59:03 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","2##","THOMPSON","WARD 6","Phone","FEB 22, 2024 02:41:27 PM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","11##","DEVONSHIRE","WARD 4","Phone","MAR 05, 2024 09:47:29 AM"
"Sidewalk Repair","Contracts, Field Services and Maintenance","11##","DEVONSHIRE","WARD 4","Phone","MAR 05, 2024 10:21:54 AM"
